utterance_id,audio_path,language,speaker_id,gender,transcription_raw,duration_sec,noise_level_db,collection_source,quality_flag,transcription_normalized
utt_0021,s3://india-speaks/raw/ur/utt_0021.wav,te,1dd31cd7,Other,aaya namaste aapka hu se swagat kaise kaise naam,2.09,33.89,crowdsourced,1,aaya namaste aapka hu se swagat kaise kaise naam
utt_0023,s3://india-speaks/raw/bn/utt_0023.wav,pa,a6620af6,F,aaya aaya hu aaya swagat aapka mera,2.07,51.01,crowdsourced,-1,aaya aaya hu aaya swagat aapka mera
utt_0024,s3://india-speaks/raw/ur/utt_0024.wav,en,65813860,M,swagat ho aaya dilli,4.92,47.51,call-center,1,swagat ho aaya dilli
utt_0025,s3://india-speaks/raw/bn/utt_0025.wav,te,85ebf8f8,M,swagat dilli mera mera hu mera naam hai se hai,3.43,54.39,studio,-1,swagat dilli mera mera hu mera naam hai se hai
utt_0026,s3://india-speaks/raw/gu/utt_0026.wav,ur,d9f598ce,F,ho hai swagat ho kaise swagat,1.17,31.91,crowdsourced,-1,ho hai swagat ho kaise swagat
utt_0030,s3://india-speaks/raw/gu/utt_0030.wav,pa,1075a494,F,,0.75,56.19,call-center,1,nan
utt_0031,s3://india-speaks/raw/ml/utt_0031.wav,ml,a9fdb130,M,hai hai dilli dilli se swagat,1.86,34.03,crowdsourced,1,hai hai dilli dilli se swagat
utt_0032,s3://india-speaks/raw/en/utt_0032.wav,bn,2a91bcb9,F,hu dilli dilli aaya namaste,4.66,31.5,call-center,-1,hu dilli dilli aaya namaste
utt_0033,s3://india-speaks/raw/mr/utt_0033.wav,en,9dbb4b2e,F,se ho ho naam hai mera mera dilli,0.67,23.88,studio,1,se ho ho naam hai mera mera dilli
utt_0034,s3://india-speaks/raw/ur/utt_0034.wav,ur,e2ffd6c0,Other,swagat dilli swagat hai naam naam mera se kaise,3.42,41.4,studio,-1,swagat dilli swagat hai naam naam mera se kaise
utt_0035,s3://india-speaks/raw/ur/utt_0035.wav,kn,d29002fc,Other,ho hu ho ho aaya namaste,2.02,23.56,crowdsourced,1,ho hu ho ho aaya namaste
utt_0037,s3://india-speaks/raw/hi/utt_0037.wav,mr,cefdeedc,Other,hai ho se mera kaise namaste se aaya aapka,4.1,51.82,call-center,1,hai ho se mera kaise namaste se aaya aapka
utt_0038,s3://india-speaks/raw/ta/utt_0038.wav,en,db0ffb49,M,naam se aaya naam ho kaise hu namaste,4.84,21.73,call-center,1,naam se aaya naam ho kaise hu namaste
utt_0039,s3://india-speaks/raw/gu/utt_0039.wav,ml,0ec88c08,Other,aapka naam ho aaya aapka aapka naam namaste hai mera,1.62,32.84,call-center,-1,aapka naam ho aaya aapka aapka naam namaste hai mera
utt_0040,s3://india-speaks/raw/ml/utt_0040.wav,bn,c3c47704,M,aaya ho swagat hai,2.43,54.26,call-center,-1,aaya ho swagat hai
utt_0042,s3://india-speaks/raw/ur/utt_0042.wav,ta,370c5b63,Other,aapka swagat ho dilli mera naam,2.87,21.27,studio,1,aapka swagat ho dilli mera naam
utt_0043,s3://india-speaks/raw/ur/utt_0043.wav,pa,55a241d5,M,mera hai hai namaste aapka namaste,1.28,32.5,studio,-1,mera hai hai namaste aapka namaste
utt_0044,s3://india-speaks/raw/en/utt_0044.wav,ml,22dc72b9,Other,mera aaya aaya ho naam dilli,2.52,32.35,crowdsourced,-1,mera aaya aaya ho naam dilli
utt_0048,s3://india-speaks/raw/kn/utt_0048.wav,ta,4e99041e,F,namaste aapka dilli kaise ho hai mera mera,3.13,59.89,crowdsourced,1,namaste aapka dilli kaise ho hai mera mera
utt_0049,s3://india-speaks/raw/te/utt_0049.wav,pa,0debcc11,F,kaise dilli aaya ho namaste aapka aaya kaise dilli mera,1.81,34.63,crowdsourced,1,kaise dilli aaya ho namaste aapka aaya kaise dilli mera
utt_0050,s3://india-speaks/raw/hi/utt_0050.wav,ur,63174381,Other,dilli ho mera hai swagat se,4.96,36.93,call-center,-1,dilli ho mera hai swagat se
utt_0051,s3://india-speaks/raw/mr/utt_0051.wav,mr,50cde161,Other,hai mera ho aapka dilli,2.39,31.75,studio,-1,hai mera ho aapka dilli
utt_0054,s3://india-speaks/raw/hi/utt_0054.wav,pa,89ac5bde,M,ho kaise namaste namaste,0.55,49.2,crowdsourced,1,ho kaise namaste namaste
utt_0055,s3://india-speaks/raw/kn/utt_0055.wav,kn,07633c47,Other,hu kaise hai aapka ho hu,2.18,26.74,crowdsourced,1,hu kaise hai aapka ho hu
utt_0058,s3://india-speaks/raw/gu/utt_0058.wav,en,efdf05c3,M,hai hu ho ho hai aapka,3.3,43.53,studio,1,hai hu ho ho hai aapka
utt_0059,s3://india-speaks/raw/mr/utt_0059.wav,ml,f0b11d7d,M,ho kaise ho,0.7,27.37,call-center,1,ho kaise ho
utt_0060,s3://india-speaks/raw/en/utt_0060.wav,kn,de962e04,M,hai hai hai namaste,1.7,45.6,crowdsourced,-1,hai hai hai namaste
utt_0061,s3://india-speaks/raw/bn/utt_0061.wav,ur,f6d67af1,Other,hai naam hu aapka mera hu aaya swagat hu,4.66,31.56,studio,1,hai naam hu aapka mera hu aaya swagat hu
utt_0062,s3://india-speaks/raw/te/utt_0062.wav,te,f0c20cfe,F,hai hu dilli kaise hai aaya kaise aaya mera,1.79,51.66,crowdsourced,1,hai hu dilli kaise hai aaya kaise aaya mera
utt_0064,s3://india-speaks/raw/gu/utt_0064.wav,pa,5bfe7b75,F,namaste kaise hai aapka,2.64,53.83,call-center,-1,namaste kaise hai aapka
utt_0066,s3://india-speaks/raw/kn/utt_0066.wav,ml,89ceb304,F,aapka kaise se namaste se ho se dilli,0.58,23.19,call-center,-1,aapka kaise se namaste se ho se dilli
utt_0067,s3://india-speaks/raw/gu/utt_0067.wav,pa,f69cc07b,M,kaise swagat namaste aaya hu se dilli swagat,3.5,25.98,call-center,-1,kaise swagat namaste aaya hu se dilli swagat
utt_0068,s3://india-speaks/raw/ml/utt_0068.wav,gu,62eb0e9d,M,swagat hai namaste mera hu namaste hu hu,4.58,44.62,call-center,-1,swagat hai namaste mera hu namaste hu hu
utt_0070,s3://india-speaks/raw/en/utt_0070.wav,mr,c3d31520,M,swagat swagat ho naam hai naam hu,4.2,59.39,crowdsourced,-1,swagat swagat ho naam hai naam hu
utt_0071,s3://india-speaks/raw/bn/utt_0071.wav,mr,cf235cd0,Other,aapka hu ho swagat ho mera dilli dilli se se,3.37,35.62,crowdsourced,1,aapka hu ho swagat ho mera dilli dilli se se
utt_0072,s3://india-speaks/raw/te/utt_0072.wav,ml,347932dd,M,,0.75,53.16,call-center,-1,nan
utt_0073,s3://india-speaks/raw/mr/utt_0073.wav,hi,73613854,M,dilli aaya naam aapka,4.17,32.41,call-center,-1,dilli aya nam apka
utt_0075,s3://india-speaks/raw/ml/utt_0075.wav,gu,8ec7670f,Other,namaste aaya dilli kaise ho ho,1.21,40.96,studio,-1,namaste aaya dilli kaise ho ho
utt_0076,s3://india-speaks/raw/mr/utt_0076.wav,ur,9bd227ff,Other,kaise kaise hu namaste aaya hu aapka hu,1.15,29.64,crowdsourced,-1,kaise kaise hu namaste aaya hu aapka hu
utt_0079,s3://india-speaks/raw/hi/utt_0079.wav,ta,1592d17c,Other,naam hu aapka hai naam hai swagat,4.86,33.27,call-center,-1,naam hu aapka hai naam hai swagat
utt_0080,s3://india-speaks/raw/pa/utt_0080.wav,gu,e103d560,Other,hai aaya ho naam,4.75,20.08,call-center,-1,hai aaya ho naam
utt_0082,s3://india-speaks/raw/bn/utt_0082.wav,gu,aea97aa4,M,dilli dilli hu aaya aapka naam se,4.75,51.74,crowdsourced,1,dilli dilli hu aaya aapka naam se
utt_0083,s3://india-speaks/raw/gu/utt_0083.wav,te,828379d4,F,dilli hu ho kaise hu se namaste,2.3,50.56,crowdsourced,-1,dilli hu ho kaise hu se namaste
utt_0085,s3://india-speaks/raw/ml/utt_0085.wav,kn,c7edef0f,M,swagat namaste swagat dilli hai aaya,2.5,32.38,crowdsourced,-1,swagat namaste swagat dilli hai aaya
utt_0087,s3://india-speaks/raw/pa/utt_0087.wav,gu,c6a85e82,M,namaste hai mera dilli namaste hai hu hai,4.27,59.27,crowdsourced,-1,namaste hai mera dilli namaste hai hu hai
utt_0088,s3://india-speaks/raw/ur/utt_0088.wav,pa,b5fddedc,M,aapka mera namaste,4.96,29.18,crowdsourced,-1,aapka mera namaste
utt_0089,s3://india-speaks/raw/hi/utt_0089.wav,pa,a07ec34c,F,hu mera kaise ho kaise aaya hu,2.86,24.06,crowdsourced,-1,hu mera kaise ho kaise aaya hu
utt_0090,s3://india-speaks/raw/ta/utt_0090.wav,pa,49731435,F,hai kaise namaste kaise kaise aapka ho dilli,3.38,23.85,studio,-1,hai kaise namaste kaise kaise aapka ho dilli
utt_0091,s3://india-speaks/raw/te/utt_0091.wav,ur,bc8731b9,F,namaste aapka mera hu dilli,3.78,31.15,studio,1,namaste aapka mera hu dilli
utt_0092,s3://india-speaks/raw/te/utt_0092.wav,ur,608e3b2f,Other,hai hai mera ho swagat hu hu se namaste kaise,3.35,53.51,call-center,-1,hai hai mera ho swagat hu hu se namaste kaise
utt_0093,s3://india-speaks/raw/hi/utt_0093.wav,ta,c3c59572,F,,4.05,52.92,crowdsourced,1,nan
utt_0096,s3://india-speaks/raw/mr/utt_0096.wav,mr,ec6c8223,Other,aapka se hai,2.56,31.8,studio,-1,aapka se hai
utt_0097,s3://india-speaks/raw/hi/utt_0097.wav,kn,a32fd682,Other,swagat ho aapka hai hai swagat dilli hai aapka ho,3.33,54.49,crowdsourced,1,swagat ho aapka hai hai swagat dilli hai aapka ho
utt_0099,s3://india-speaks/raw/te/utt_0099.wav,ta,ae83419a,M,hai aaya hai mera,2.62,31.31,call-center,-1,hai aaya hai mera
utt_0100,s3://india-speaks/raw/gu/utt_0100.wav,gu,bfa68306,Other,aaya hu dilli naam hai kaise dilli dilli,3.5,23.6,studio,1,aaya hu dilli naam hai kaise dilli dilli
utt_0103,s3://india-speaks/raw/pa/utt_0103.wav,te,3f16e836,Other,mera naam swagat ho mera,1.74,38.78,crowdsourced,-1,mera naam swagat ho mera
utt_0104,s3://india-speaks/raw/ml/utt_0104.wav,te,4e3511a2,M,se hai swagat hai aapka,1.14,58.76,call-center,1,se hai swagat hai aapka
utt_0105,s3://india-speaks/raw/en/utt_0105.wav,gu,d8d4887b,M,naam kaise hu,3.92,57.13,crowdsourced,1,naam kaise hu
utt_0106,s3://india-speaks/raw/bn/utt_0106.wav,gu,0a356c94,M,hai swagat hai hu namaste se aapka dilli aaya hu,0.74,39.63,call-center,1,hai swagat hai hu namaste se aapka dilli aaya hu
utt_0107,s3://india-speaks/raw/en/utt_0107.wav,bn,1fa7a6b8,Other,hu se aaya,4.25,38.96,crowdsourced,1,hu se aaya
utt_0108,s3://india-speaks/raw/hi/utt_0108.wav,ur,2327e078,M,hu hai aaya hu naam kaise hai,2.07,59.05,studio,-1,hu hai aaya hu naam kaise hai
utt_0110,s3://india-speaks/raw/kn/utt_0110.wav,ur,af7a75da,M,aaya dilli ho,0.83,34.91,call-center,1,aaya dilli ho
utt_0113,s3://india-speaks/raw/mr/utt_0113.wav,kn,ac92b42e,M,kaise hu hai swagat namaste,3.09,41.18,call-center,1,kaise hu hai swagat namaste
utt_0115,s3://india-speaks/raw/mr/utt_0115.wav,ta,b921e648,M,hai kaise hai se hai,2.14,58.1,call-center,-1,hai kaise hai se hai
utt_0116,s3://india-speaks/raw/ur/utt_0116.wav,mr,de20398f,F,hai hai kaise aapka aapka mera hai mera namaste,3.69,47.04,call-center,1,hai hai kaise aapka aapka mera hai mera namaste
utt_0117,s3://india-speaks/raw/pa/utt_0117.wav,ur,78a4ddcb,Other,hai dilli se swagat mera hai ho naam aapka namaste,1.57,56.93,crowdsourced,1,hai dilli se swagat mera hai ho naam aapka namaste
utt_0119,s3://india-speaks/raw/kn/utt_0119.wav,ur,9acf893b,M,mera naam dilli se,3.53,47.56,crowdsourced,-1,mera naam dilli se
utt_0120,s3://india-speaks/raw/ta/utt_0120.wav,en,ec8180ce,M,hu aaya swagat naam swagat naam,0.83,30.34,studio,1,hu aaya swagat naam swagat naam
utt_0121,s3://india-speaks/raw/gu/utt_0121.wav,gu,13f7c46a,F,namaste naam hai aapka,3.89,58.28,crowdsourced,-1,namaste naam hai aapka
utt_0123,s3://india-speaks/raw/gu/utt_0123.wav,ur,58638984,M,ho hu namaste hai hu,2.05,21.42,call-center,1,ho hu namaste hai hu
utt_0124,s3://india-speaks/raw/hi/utt_0124.wav,ml,cbbab2a1,M,hai ho naam dilli mera hu kaise,4.77,43.76,studio,-1,hai ho naam dilli mera hu kaise
utt_0125,s3://india-speaks/raw/ml/utt_0125.wav,bn,f59cb9c4,M,hai hai namaste namaste aapka aaya,0.61,54.22,studio,1,hai hai namaste namaste aapka aaya
utt_0127,s3://india-speaks/raw/ta/utt_0127.wav,kn,72814b36,Other,hai hai swagat ho hu hai hu,4.05,44.15,call-center,1,hai hai swagat ho hu hai hu
utt_0128,s3://india-speaks/raw/ur/utt_0128.wav,kn,d7924fa3,Other,namaste dilli hu dilli swagat kaise,4.2,22.66,call-center,-1,namaste dilli hu dilli swagat kaise
utt_0129,s3://india-speaks/raw/te/utt_0129.wav,ml,c1e427d7,Other,ho aapka hu ho namaste,3.04,44.24,call-center,1,ho aapka hu ho namaste
utt_0130,s3://india-speaks/raw/te/utt_0130.wav,ml,4c4801e2,M,hai mera hai ho,4.57,48.04,studio,-1,hai mera hai ho
utt_0131,s3://india-speaks/raw/en/utt_0131.wav,bn,7064bb95,F,kaise kaise hai aaya,4.46,57.22,studio,1,kaise kaise hai aaya
utt_0132,s3://india-speaks/raw/te/utt_0132.wav,te,7d3d389d,M,aapka hu swagat,4.22,29.08,crowdsourced,-1,aapka hu swagat
utt_0134,s3://india-speaks/raw/te/utt_0134.wav,ur,d737aa3e,M,dilli aaya naam naam aaya swagat hu ho,3.8,35.37,studio,1,dilli aaya naam naam aaya swagat hu ho
utt_0135,s3://india-speaks/raw/gu/utt_0135.wav,hi,27271315,M,mera aapka namaste mera swagat aapka kaise dilli namaste,4.36,56.23,call-center,-1,mera apka namaste mera swagat apka kaise dilli namaste
utt_0136,s3://india-speaks/raw/en/utt_0136.wav,en,934ad1a9,F,dilli hai naam dilli swagat hu se mera,2.5,26.93,crowdsourced,-1,dilli hai naam dilli swagat hu se mera
utt_0137,s3://india-speaks/raw/ml/utt_0137.wav,en,ff86b346,Other,mera dilli hu swagat hai aapka hai se se,3.69,22.37,call-center,-1,mera dilli hu swagat hai aapka hai se se
utt_0138,s3://india-speaks/raw/pa/utt_0138.wav,ml,871bd550,M,dilli hu swagat namaste,4.13,30.62,crowdsourced,-1,dilli hu swagat namaste
utt_0139,s3://india-speaks/raw/hi/utt_0139.wav,hi,4827bb5e,M,se namaste hu hai hu aapka mera hai hai mera,2.92,52.62,crowdsourced,1,se namaste hu hai hu apka mera hai hai mera
utt_0140,s3://india-speaks/raw/en/utt_0140.wav,gu,ae42f857,M,hai aaya dilli,2.97,38.85,crowdsourced,1,hai aaya dilli
utt_0142,s3://india-speaks/raw/mr/utt_0142.wav,hi,d843ca5b,M,swagat kaise aapka kaise namaste mera,3.04,39.78,studio,-1,swagat kaise apka kaise namaste mera
utt_0143,s3://india-speaks/raw/ta/utt_0143.wav,kn,e84b4246,Other,kaise hai se aaya,3.09,28.89,crowdsourced,1,kaise hai se aaya
utt_0144,s3://india-speaks/raw/en/utt_0144.wav,pa,6f644822,M,hai hai swagat dilli naam swagat hai,1.51,55.46,crowdsourced,1,hai hai swagat dilli naam swagat hai
utt_0145,s3://india-speaks/raw/ta/utt_0145.wav,ur,b8e9242c,M,hu aaya aaya,2.89,31.5,crowdsourced,-1,hu aaya aaya
utt_0146,s3://india-speaks/raw/ur/utt_0146.wav,ta,ded589a2,Other,hai kaise kaise,3.83,28.72,call-center,1,hai kaise kaise
utt_0150,s3://india-speaks/raw/ur/utt_0150.wav,ta,ca81d304,M,hu hai ho aapka,1.2,40.1,call-center,1,hu hai ho aapka
utt_0151,s3://india-speaks/raw/gu/utt_0151.wav,hi,be14c4f0,Other,kaise aaya swagat,2.9,34.35,studio,1,kaise aya swagat
utt_0152,s3://india-speaks/raw/en/utt_0152.wav,en,62fd40e5,F,aapka ho kaise,3.48,31.49,crowdsourced,-1,aapka ho kaise
utt_0153,s3://india-speaks/raw/gu/utt_0153.wav,ml,1a38eed7,Other,,4.99,52.36,crowdsourced,1,nan
utt_0154,s3://india-speaks/raw/ml/utt_0154.wav,mr,22cb220b,F,hu hu aapka mera mera hai aapka dilli se ho,1.48,54.65,studio,-1,hu hu aapka mera mera hai aapka dilli se ho
utt_0158,s3://india-speaks/raw/gu/utt_0158.wav,bn,d080a72e,Other,swagat dilli se dilli mera swagat hu naam hai,2.21,57.01,crowdsourced,1,swagat dilli se dilli mera swagat hu naam hai
utt_0160,s3://india-speaks/raw/mr/utt_0160.wav,ml,e0fb02a0,M,kaise mera dilli,4.55,23.99,call-center,-1,kaise mera dilli
utt_0162,s3://india-speaks/raw/en/utt_0162.wav,ml,5c4df253,Other,dilli hai aaya swagat namaste hai kaise hai,1.51,47.61,studio,1,dilli hai aaya swagat namaste hai kaise hai
utt_0163,s3://india-speaks/raw/pa/utt_0163.wav,ta,72963bdd,M,ho hai mera kaise,3.37,22.22,studio,-1,ho hai mera kaise
utt_0164,s3://india-speaks/raw/ur/utt_0164.wav,ta,6e45f57b,M,hai se aapka,4.34,36.9,studio,-1,hai se aapka
utt_0165,s3://india-speaks/raw/ml/utt_0165.wav,kn,daaa57e9,Other,dilli naam naam hai hai naam aapka aapka,4.2,31.66,crowdsourced,1,dilli naam naam hai hai naam aapka aapka
utt_0166,s3://india-speaks/raw/ur/utt_0166.wav,bn,66fdfaf5,M,namaste hu aaya se,2.2,48.93,crowdsourced,1,namaste hu aaya se
utt_0167,s3://india-speaks/raw/bn/utt_0167.wav,mr,b6bd319d,Other,hu namaste naam kaise dilli hu swagat dilli namaste swagat,1.37,36.14,call-center,-1,hu namaste naam kaise dilli hu swagat dilli namaste swagat
utt_0169,s3://india-speaks/raw/pa/utt_0169.wav,hi,2029b69a,Other,namaste ho hu mera namaste naam dilli aapka namaste,4.07,20.76,call-center,1,namaste ho hu mera namaste nam dilli apka namaste
utt_0171,s3://india-speaks/raw/kn/utt_0171.wav,ml,498512fb,F,naam ho naam swagat namaste naam naam namaste hu,3.2,37.92,studio,1,naam ho naam swagat namaste naam naam namaste hu
utt_0172,s3://india-speaks/raw/pa/utt_0172.wav,gu,532d1700,M,hai swagat dilli naam swagat namaste hai,4.71,24.07,crowdsourced,-1,hai swagat dilli naam swagat namaste hai
utt_0173,s3://india-speaks/raw/en/utt_0173.wav,bn,3d149352,Other,,3.89,47.45,studio,-1,nan
utt_0178,s3://india-speaks/raw/en/utt_0178.wav,ta,0e886f79,Other,mera hu se,0.54,33.22,call-center,-1,mera hu se
utt_0179,s3://india-speaks/raw/bn/utt_0179.wav,mr,69982d81,Other,dilli hai hu hai,4.04,36.02,crowdsourced,1,dilli hai hu hai
utt_0180,s3://india-speaks/raw/mr/utt_0180.wav,pa,f30542f2,F,se swagat hai naam se dilli,3.9,29.31,call-center,1,se swagat hai naam se dilli
utt_0181,s3://india-speaks/raw/bn/utt_0181.wav,te,332dca16,F,dilli ho aapka mera mera ho,3.06,52.71,call-center,-1,dilli ho aapka mera mera ho
utt_0182,s3://india-speaks/raw/kn/utt_0182.wav,mr,3697f63d,Other,swagat mera dilli hai namaste,2.51,46.63,call-center,-1,swagat mera dilli hai namaste
utt_0183,s3://india-speaks/raw/gu/utt_0183.wav,ml,f3074d8e,Other,se hai swagat aapka ho,2.99,54.19,studio,-1,se hai swagat aapka ho
utt_0185,s3://india-speaks/raw/kn/utt_0185.wav,ur,62bf827c,F,aapka se hai,2.75,35.86,studio,-1,aapka se hai
utt_0186,s3://india-speaks/raw/gu/utt_0186.wav,te,c30d3894,Other,se namaste se,2.98,37.8,call-center,1,se namaste se
utt_0190,s3://india-speaks/raw/gu/utt_0190.wav,te,3f3429a5,F,mera hu swagat hu,1.22,25.24,crowdsourced,1,mera hu swagat hu
utt_0191,s3://india-speaks/raw/te/utt_0191.wav,te,1f4ac1e2,F,hai aapka hu aaya,2.77,45.91,crowdsourced,-1,hai aapka hu aaya
utt_0192,s3://india-speaks/raw/ta/utt_0192.wav,bn,6206f99a,M,swagat mera naam hai aapka,3.85,46.3,crowdsourced,-1,swagat mera naam hai aapka
utt_0194,s3://india-speaks/raw/te/utt_0194.wav,ml,81cdcd47,M,se aaya hu se,2.91,56.21,call-center,1,se aaya hu se
utt_0198,s3://india-speaks/raw/en/utt_0198.wav,bn,f681418c,M,naam ho naam dilli,2.08,38.49,crowdsourced,1,naam ho naam dilli
utt_0199,s3://india-speaks/raw/kn/utt_0199.wav,bn,64a594ac,F,hai namaste hu namaste,0.86,38.02,crowdsourced,-1,hai namaste hu namaste
utt_0200,s3://india-speaks/raw/en/utt_0200.wav,en,629387b8,M,aaya namaste kaise aaya aaya,4.14,58.24,crowdsourced,-1,aaya namaste kaise aaya aaya
utt_0201,s3://india-speaks/raw/ta/utt_0201.wav,ml,008fa22f,Other,ho se naam hu ho swagat swagat,4.25,56.76,crowdsourced,-1,ho se naam hu ho swagat swagat
utt_0202,s3://india-speaks/raw/hi/utt_0202.wav,ml,ba8f2029,M,hu dilli kaise namaste,1.85,29.71,crowdsourced,-1,hu dilli kaise namaste
utt_0203,s3://india-speaks/raw/en/utt_0203.wav,kn,85f747de,F,namaste aapka naam mera naam swagat aapka aapka,0.97,47.28,crowdsourced,1,namaste aapka naam mera naam swagat aapka aapka
utt_0204,s3://india-speaks/raw/mr/utt_0204.wav,kn,210e5de4,F,naam se aapka,3.01,55.43,crowdsourced,1,naam se aapka
utt_0206,s3://india-speaks/raw/gu/utt_0206.wav,kn,fc352fcb,F,hai swagat aaya,2.41,24.61,studio,1,hai swagat aaya
utt_0209,s3://india-speaks/raw/ml/utt_0209.wav,en,16e080ef,M,dilli ho swagat hu mera hu aapka,0.79,24.21,call-center,-1,dilli ho swagat hu mera hu aapka
utt_0210,s3://india-speaks/raw/hi/utt_0210.wav,hi,994bd181,M,swagat swagat dilli,3.72,52.45,call-center,1,swagat swagat dilli
utt_0213,s3://india-speaks/raw/te/utt_0213.wav,kn,e04152b1,M,namaste hai naam namaste naam dilli kaise naam,1.37,37.08,studio,1,namaste hai naam namaste naam dilli kaise naam
utt_0214,s3://india-speaks/raw/kn/utt_0214.wav,ur,9ef0f3fa,F,hai aapka naam,0.53,57.05,call-center,-1,hai aapka naam
utt_0215,s3://india-speaks/raw/te/utt_0215.wav,mr,4055d42d,F,,1.58,29.54,call-center,-1,nan
utt_0216,s3://india-speaks/raw/en/utt_0216.wav,ur,2397f7ff,F,namaste kaise hu namaste kaise hai ho swagat dilli dilli,3.28,35.12,studio,-1,namaste kaise hu namaste kaise hai ho swagat dilli dilli
utt_0217,s3://india-speaks/raw/pa/utt_0217.wav,ta,6090293e,Other,kaise aaya mera mera,1.81,25.46,studio,1,kaise aaya mera mera
utt_0218,s3://india-speaks/raw/en/utt_0218.wav,mr,82b71535,Other,naam kaise naam,4.47,24.48,studio,-1,naam kaise naam
utt_0219,s3://india-speaks/raw/mr/utt_0219.wav,hi,9f7db34c,F,swagat hai aapka hai hu hai swagat,3.09,21.18,crowdsourced,1,swagat hai apka hai hu hai swagat
utt_0221,s3://india-speaks/raw/kn/utt_0221.wav,te,228c0f97,F,ho aapka hai hai hu namaste dilli hai,0.83,47.1,call-center,1,ho aapka hai hai hu namaste dilli hai
utt_0222,s3://india-speaks/raw/pa/utt_0222.wav,en,20b646cf,M,hu naam hu aapka,4.15,55.61,crowdsourced,-1,hu naam hu aapka
utt_0223,s3://india-speaks/raw/gu/utt_0223.wav,kn,f7bd1cd7,Other,,1.68,46.91,call-center,1,nan
utt_0224,s3://india-speaks/raw/ta/utt_0224.wav,ta,8dd76ce6,F,naam hu se aapka aapka kaise hu,3.32,53.54,studio,1,naam hu se aapka aapka kaise hu
utt_0225,s3://india-speaks/raw/en/utt_0225.wav,bn,ff1f26a6,F,naam kaise namaste dilli ho hu hu,1.27,21.01,call-center,-1,naam kaise namaste dilli ho hu hu
utt_0226,s3://india-speaks/raw/pa/utt_0226.wav,bn,7f0e202a,F,hai aapka aapka naam namaste aaya ho aaya aaya aapka,3.6,52.71,crowdsourced,1,hai aapka aapka naam namaste aaya ho aaya aaya aapka
utt_0230,s3://india-speaks/raw/mr/utt_0230.wav,ta,fd9966cc,Other,swagat aapka hu ho,0.84,52.79,studio,-1,swagat aapka hu ho
utt_0232,s3://india-speaks/raw/gu/utt_0232.wav,hi,b4dbc7e8,M,kaise namaste naam kaise hu kaise,3.98,37.91,crowdsourced,1,kaise namaste nam kaise hu kaise
utt_0233,s3://india-speaks/raw/pa/utt_0233.wav,kn,e9018878,M,swagat swagat namaste dilli ho hai swagat aapka hai aapka,1.3,29.85,call-center,-1,swagat swagat namaste dilli ho hai swagat aapka hai aapka
utt_0234,s3://india-speaks/raw/ta/utt_0234.wav,bn,0651ab2d,Other,aaya mera hai hai se aapka aaya kaise dilli swagat,1.22,57.79,studio,-1,aaya mera hai hai se aapka aaya kaise dilli swagat
